customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_total,cluster,segment_name,action,discount,channel
C0027,35,12,63220.4,3,4,5,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0028,12,3,7479.37,5,2,1,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0029,53,7,23452.83,3,3,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0030,6,15,65662.02,5,5,5,15,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0031,41,4,21198.4,3,2,3,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0032,11,12,52322.25,5,4,5,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0033,27,20,76355.65,4,5,5,14,4, Champions,VIP Early Access,5–10%,Push Notification
C0034,172,1,2472.71,1,1,1,3,0, New / Occasional,Welcome Series,20%,SMS
C0035,100,4,14183.09,2,2,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0036,48,3,9267.98,3,2,2,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0037,15,11,45699.18,4,4,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0038,11,23,92099.7,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0039,153,1,497.44,1,1,1,3,0, New / Occasional,Welcome Series,20%,SMS
C0040,42,5,17812.35,3,3,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0041,14,8,29629.46,4,4,4,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0042,70,6,26588.89,2,3,3,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0043,12,17,70082.15,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0044,81,3,11334.95,2,2,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0045,5,14,61619.91,5,5,5,15,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0046,190,3,15411.67,1,2,2,5,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0047,13,8,22711.91,5,4,3,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0048,5,6,25685.17,5,3,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0049,103,7,32829.41,2,3,4,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0050,10,11,40175.28,5,4,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0051,147,2,11021.0,1,1,2,4,0, New / Occasional,Welcome Series,20%,SMS
C0052,155,2,7112.969999999999,1,1,1,3,0, New / Occasional,Welcome Series,20%,SMS
C0053,80,1,1941.39,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0054,97,3,4494.67,2,2,1,5,0, New / Occasional,Welcome Series,20%,SMS
C0055,113,4,23074.05,2,2,3,7,0, New / Occasional,Welcome Series,20%,SMS
C0056,50,3,9301.16,3,2,2,7,0, New / Occasional,Welcome Series,20%,SMS
C0057,31,15,77162.39,4,5,5,14,4, Champions,VIP Early Access,5–10%,Push Notification
C0058,33,13,60330.06,3,5,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0059,10,18,75209.35,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0060,5,11,44853.32,5,4,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0061,6,6,14720.59,5,3,2,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0062,141,8,35130.42,1,4,4,9,0, New / Occasional,Welcome Series,20%,SMS
C0063,273,3,10260.52,1,2,2,5,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0064,2,4,17269.18,5,2,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0065,27,7,27553.059999999998,4,3,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0066,9,3,19038.18,5,2,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0067,5,14,66289.19,5,5,5,15,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0068,286,2,9333.58,1,1,2,4,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0069,13,22,85851.75,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0070,100,3,8480.07,2,2,1,5,0, New / Occasional,Welcome Series,20%,SMS
C0071,127,1,2729.93,1,1,1,3,0, New / Occasional,Welcome Series,20%,SMS
C0072,82,9,40597.74,2,4,4,10,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0073,2,21,87124.45,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0074,364,1,7206.0599999999995,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0075,288,1,6522.33,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0076,196,2,9592.609999999999,1,1,2,4,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0077,262,2,11509.29,1,1,2,4,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0078,17,20,91671.3,4,5,5,14,4, Champions,VIP Early Access,5–10%,Push Notification
C0079,44,7,14341.82,3,3,2,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0080,10,8,30612.45,5,4,4,13,2, Potential Growth,Engagement Promo,15%,Line OA
C0081,16,3,8882.74,4,2,1,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0082,65,7,34899.0,2,3,4,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0083,33,15,55902.7,3,5,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0084,42,17,58742.68,3,5,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0085,39,15,45507.21,3,5,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0086,25,14,56614.020000000004,4,5,5,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0087,41,2,13292.77,3,1,2,6,2, Potential Growth,Engagement Promo,15%,Line OA
C0088,59,5,12019.04,3,3,2,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0089,4,4,15501.779999999999,5,2,2,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0090,22,3,12586.18,4,2,2,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0091,64,13,51347.19,2,5,5,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0092,11,1,2465.02,5,1,1,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0093,47,1,3903.57,3,1,1,5,0, New / Occasional,Welcome Series,20%,SMS
C0094,55,6,23597.64,3,3,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0095,50,3,15333.939999999999,3,2,2,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0096,34,3,4287.96,3,2,1,6,2, Potential Growth,Engagement Promo,15%,Line OA
C0097,62,4,25092.29,2,2,3,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0098,100,3,14462.7,2,2,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0099,13,21,69177.1,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0100,42,8,31427.57,3,4,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0101,16,18,65222.3,4,5,5,14,4, Champions,VIP Early Access,5–10%,Push Notification
C0102,33,8,42984.11,3,4,4,11,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0103,21,14,61849.759999999995,4,5,5,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0104,8,5,28883.43,5,3,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0105,95,4,7969.76,2,2,1,5,0, New / Occasional,Welcome Series,20%,SMS
C0106,11,10,65866.05,5,4,5,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0107,38,4,22528.129999999997,3,2,3,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0108,348,2,12317.99,1,1,2,4,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0109,36,8,27422.77,3,4,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0110,10,24,126292.78,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0111,14,9,40213.26,4,4,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0112,10,11,46278.840000000004,5,4,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0113,245,1,2378.43,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0114,34,1,3084.74,3,1,1,5,0, New / Occasional,Welcome Series,20%,SMS
C0115,30,7,32432.25,4,3,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0116,52,4,18719.02,3,2,3,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0117,18,3,10076.95,4,2,2,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0118,19,13,42973.83,4,5,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0119,193,3,8980.29,1,2,1,4,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0120,50,3,8344.57,3,2,1,6,0, New / Occasional,Welcome Series,20%,SMS
C0121,331,1,792.81,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0122,266,2,5604.87,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0123,79,7,31070.1,2,3,4,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0124,2,13,52181.47,5,5,5,15,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0125,22,8,18063.5,4,4,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0126,27,7,27908.120000000003,4,3,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0127,202,2,4273.17,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0128,132,1,3542.02,1,1,1,3,0, New / Occasional,Welcome Series,20%,SMS
C0129,8,17,71206.26000000001,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0130,18,5,20300.55,4,3,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0131,17,7,31910.42,4,3,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0132,2,8,30734.54,5,4,4,13,2, Potential Growth,Engagement Promo,15%,Line OA
C0133,50,8,27404.67,3,4,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0134,22,12,48959.53,4,4,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0135,197,3,7759.7699999999995,1,2,1,4,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0136,5,11,37600.78,5,4,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0137,29,8,52612.97,4,4,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0138,107,2,2472.0600000000004,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0139,48,4,25185.4,3,2,3,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0140,158,4,9668.84,1,2,2,5,0, New / Occasional,Welcome Series,20%,SMS
C0141,91,1,10188.12,2,1,2,5,0, New / Occasional,Welcome Series,20%,SMS
C0142,44,8,60470.94,3,4,5,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0143,79,3,7434.219999999999,2,2,1,5,0, New / Occasional,Welcome Series,20%,SMS
C0144,24,7,23913.34,4,3,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0145,74,10,49922.35,2,4,4,10,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0146,7,12,42315.53,5,4,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0147,36,7,25068.46,3,3,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0148,51,6,25944.14,3,3,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0149,14,17,73172.63,4,5,5,14,4, Champions,VIP Early Access,5–10%,Push Notification
C0150,64,13,64233.26,2,5,5,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0151,243,1,5542.74,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0152,33,10,40603.18,3,4,4,11,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0153,12,8,43749.92,5,4,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0154,42,7,47569.57,3,3,4,10,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0155,106,3,15504.7,2,2,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0156,26,13,50436.810000000005,4,5,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0157,57,2,10536.62,3,1,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0158,5,2,7677.47,5,1,1,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0159,4,10,56756.52,5,4,5,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0160,66,3,16681.79,2,2,3,7,0, New / Occasional,Welcome Series,20%,SMS
C0161,11,5,30529.15,5,3,4,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0162,13,8,28514.97,5,4,3,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0163,44,7,45458.02,3,3,4,10,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0164,20,4,13624.560000000001,4,2,2,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0165,55,15,62483.4,3,5,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0166,10,3,16703.079999999998,5,2,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0167,25,10,55599.43,4,4,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0168,68,8,27390.81,2,4,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0169,37,15,51594.43,3,5,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0170,21,8,35104.78,4,4,4,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0171,214,2,14008.720000000001,1,1,2,4,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0172,6,17,63861.62,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0173,14,5,35733.54,4,3,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0174,18,13,51160.05,4,5,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0175,19,6,30467.42,4,3,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0176,24,11,53791.990000000005,4,4,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0177,237,1,5250.15,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0178,171,6,35497.92,1,3,4,8,0, New / Occasional,Welcome Series,20%,SMS
C0179,289,1,1452.58,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0180,34,7,37796.45,3,3,4,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0181,59,8,19053.899999999998,3,4,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0182,42,12,45443.18,3,4,4,11,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0183,276,2,9488.91,1,1,2,4,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0184,145,1,426.09,1,1,1,3,0, New / Occasional,Welcome Series,20%,SMS
C0185,43,14,57168.04,3,5,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0186,91,2,6245.06,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0187,55,3,14570.97,3,2,2,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0188,87,7,26823.24,2,3,3,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0189,29,5,16566.2,4,3,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0190,14,9,48680.33,4,4,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0191,4,22,76373.77,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0192,84,3,13278.39,2,2,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0193,3,4,23640.72,5,2,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0194,58,4,12503.8,3,2,2,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0195,43,12,68848.04000000001,3,4,5,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0196,17,12,66528.79,4,4,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0197,96,1,11199.0,2,1,2,5,0, New / Occasional,Welcome Series,20%,SMS
C0198,174,4,13588.64,1,2,2,5,0, New / Occasional,Welcome Series,20%,SMS
C0199,270,2,3123.6800000000003,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0200,67,1,1492.32,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0201,19,4,16151.23,4,2,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0202,36,17,78442.70999999999,3,5,5,13,4, Champions,VIP Early Access,5–10%,Push Notification
C0203,23,13,58679.78,4,5,5,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0204,123,4,21737.36,1,2,3,6,0, New / Occasional,Welcome Series,20%,SMS
C0205,45,5,17450.44,3,3,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0206,3,24,90796.73,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0207,21,7,33551.17,4,3,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0208,12,3,11666.51,5,2,2,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0209,6,21,103457.94,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0210,20,10,22239.37,4,4,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0211,34,7,28997.89,3,3,4,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0212,174,2,9890.84,1,1,2,4,0, New / Occasional,Welcome Series,20%,SMS
C0213,317,2,2509.8500000000004,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0214,24,13,63755.71,4,5,5,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0215,265,1,2444.0,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0216,6,12,46916.59,5,4,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0217,7,10,36009.61,5,4,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0219,39,8,38695.119999999995,3,4,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0220,145,3,11461.89,1,2,2,5,0, New / Occasional,Welcome Series,20%,SMS
C0221,305,2,7994.530000000001,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0222,2,6,28603.100000000002,5,3,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0223,7,19,76297.20999999999,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0224,8,6,29690.46,5,3,4,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0225,31,8,47335.16,4,4,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0226,4,13,54441.94,5,5,5,15,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0227,127,4,16147.350000000002,1,2,3,6,0, New / Occasional,Welcome Series,20%,SMS
C0228,17,7,24064.92,4,3,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0229,161,3,8005.72,1,2,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0230,164,2,5501.2,1,1,1,3,0, New / Occasional,Welcome Series,20%,SMS
C0231,3,3,17899.64,5,2,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0232,26,7,30609.23,4,3,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0233,79,4,9931.720000000001,2,2,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0234,19,7,33291.6,4,3,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0235,61,9,18006.35,2,4,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0236,259,2,6040.15,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0237,30,9,25091.72,4,4,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0238,4,19,89789.51999999999,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0239,11,5,19986.52,5,3,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0240,47,13,70101.54,3,5,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0241,209,2,8496.17,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0242,83,2,10780.53,2,1,2,5,0, New / Occasional,Welcome Series,20%,SMS
C0243,102,4,18022.739999999998,2,2,3,7,0, New / Occasional,Welcome Series,20%,SMS
C0244,13,7,15748.25,5,3,2,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0245,20,23,67700.42,4,5,5,14,4, Champions,VIP Early Access,5–10%,Push Notification
C0246,225,2,3376.89,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0247,71,8,39480.090000000004,2,4,4,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0248,64,1,2908.7400000000002,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0249,57,4,26973.59,3,3,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0250,88,4,6136.79,2,3,1,6,0, New / Occasional,Welcome Series,20%,SMS
C0251,49,12,48320.93,3,4,4,11,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0252,42,6,13100.3,3,3,2,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0253,245,1,1184.5500000000002,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0254,7,9,35012.75,5,4,4,13,2, Potential Growth,Engagement Promo,15%,Line OA
C0255,51,10,51424.99,3,4,5,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0256,15,7,31653.620000000003,4,3,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0257,228,3,9228.0,1,2,2,5,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0258,17,2,10180.189999999999,4,1,2,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0259,62,7,29254.46,2,3,4,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0260,3,25,131227.06,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0261,149,4,2993.04,1,3,1,5,0, New / Occasional,Welcome Series,20%,SMS
C0262,158,2,12069.71,1,1,2,4,0, New / Occasional,Welcome Series,20%,SMS
C0263,14,13,48043.84,4,5,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0264,6,6,14087.75,5,3,2,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0265,111,2,8750.25,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0266,91,3,22667.67,2,2,3,7,0, New / Occasional,Welcome Series,20%,SMS
C0267,276,1,1278.27,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0268,18,2,22499.68,4,1,3,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0269,96,5,17981.0,2,3,3,8,0, New / Occasional,Welcome Series,20%,SMS
C0270,70,13,58976.51,2,5,5,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0271,262,1,5204.76,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0272,257,2,11618.36,1,1,2,4,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0273,44,4,10258.36,3,3,2,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0274,6,2,4059.67,5,1,1,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0275,115,7,21200.920000000002,2,4,3,9,0, New / Occasional,Welcome Series,20%,SMS
C0276,140,5,26626.9,1,3,3,7,0, New / Occasional,Welcome Series,20%,SMS
C0277,45,2,11647.970000000001,3,1,2,6,2, Potential Growth,Engagement Promo,15%,Line OA
C0278,17,7,20410.03,4,4,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0279,251,3,15373.37,1,2,2,5,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0280,120,1,3434.28,1,1,1,3,0, New / Occasional,Welcome Series,20%,SMS
C0281,69,4,15766.720000000001,2,3,2,7,0, New / Occasional,Welcome Series,20%,SMS
C0282,58,10,31327.7,3,4,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0283,74,4,19763.75,2,3,3,8,0, New / Occasional,Welcome Series,20%,SMS
C0284,39,18,55904.87,3,5,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0285,42,8,30827.670000000002,3,4,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0286,33,20,91414.69,3,5,5,13,4, Champions,VIP Early Access,5–10%,Push Notification
C0287,120,7,31211.39,1,4,4,9,0, New / Occasional,Welcome Series,20%,SMS
C0288,103,4,14832.64,2,3,2,7,0, New / Occasional,Welcome Series,20%,SMS
C0289,17,13,58267.37,4,5,5,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0290,143,6,31398.8,1,3,4,8,0, New / Occasional,Welcome Series,20%,SMS
C0291,14,22,87808.24,4,5,5,14,4, Champions,VIP Early Access,5–10%,Push Notification
C0292,10,16,72445.35,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
